,Confidence Threshold,Labels,Image Name,Image URL,Media in Tweet,Media Type,Tweet URL
930,True,"['Badge', 'Logo', 'Symbol', 'Emblem', 'Hockey', 'Ice Hockey', 'Ice Hockey Puck', 'Rink', 'Skating', 'Sport']",GGygGU2W0AAtXs5.jpg,https://pbs.twimg.com/media/GGygGU2W0AAtXs5.jpg,https://t.co/DdUIp436ME https://pbs.twimg.com/media/GGygGU2W0AAtXs5.jpg,photo,https://t.co/DdUIp436ME
931,True,"['Art', 'Graphics']",GGygTI8WAAAm_-F.jpg,https://pbs.twimg.com/media/GGygTI8WAAAm_-F.jpg,https://t.co/DFbYnZbrZW https://pbs.twimg.com/media/GGygTI8WAAAm_-F.jpg,photo,https://t.co/DFbYnZbrZW
932,True,"['Adult', 'Female', 'Person', 'Woman', 'Male', 'Man', 'Head', 'Face', 'People']",GGygVthWEAArV0L.jpg,https://pbs.twimg.com/media/GGygVthWEAArV0L.jpg,https://t.co/gEMiT4zOXl https://pbs.twimg.com/media/GGygVthWEAArV0L.jpg,photo,https://t.co/gEMiT4zOXl
933,True,['Text'],GGyhD1EXQAEIH4w.jpg,https://pbs.twimg.com/media/GGyhD1EXQAEIH4w.jpg,https://t.co/2j6NvnfDhk https://pbs.twimg.com/media/GGyhD1EXQAEIH4w.jpg,photo,https://t.co/2j6NvnfDhk
934,True,"['Advertisement', 'Poster']",GGyhWgYWIAA3ITg.jpg,https://pbs.twimg.com/media/GGyhWgYWIAA3ITg.jpg,https://t.co/N8vFsSRnZi https://pbs.twimg.com/media/GGyhWgYWIAA3ITg.jpg,photo,https://t.co/N8vFsSRnZi
935,False,"['Advertisement', 'Text', 'Poster']",GGyhu_Qa0AAeVgu.png,https://pbs.twimg.com/media/GGyhu_Qa0AAeVgu.png,https://t.co/5KBLTechkF https://pbs.twimg.com/media/GGyhu_Qa0AAeVgu.png,photo,https://t.co/5KBLTechkF
936,True,"['Advertisement', 'Poster']",GGyiIJnWwAAhKYj.jpg,https://pbs.twimg.com/media/GGyiIJnWwAAhKYj.jpg,https://t.co/3GFcYIw74h https://pbs.twimg.com/media/GGyiIJnWwAAhKYj.jpg,photo,https://t.co/3GFcYIw74h
937,True,"['Animal', 'Nature', 'Outdoors', 'Reef', 'Sea', 'Sea Life', 'Water', 'Coral Reef']",GGyiMDAW4AAT-fX.jpg,https://pbs.twimg.com/media/GGyiMDAW4AAT-fX.jpg,https://t.co/lt1dTr9wiW https://pbs.twimg.com/media/GGyiMDAW4AAT-fX.jpg,photo,https://t.co/lt1dTr9wiW
938,True,"['Lighting', 'Light', 'Person', 'Nature', 'Night', 'Outdoors']",GGyiNEqWQAACn1n.jpg,https://pbs.twimg.com/media/GGyiNEqWQAACn1n.jpg,https://t.co/qJz9kW3Gim https://pbs.twimg.com/media/GGyiNEqWQAACn1n.jpg,photo,https://t.co/qJz9kW3Gim
939,True,"['Advertisement', 'Poster', 'Architecture', 'Building', 'Art', 'Graphics', 'Lighting']",GGyidxeWMAAif2V.jpg,https://pbs.twimg.com/media/GGyidxeWMAAif2V.jpg,https://t.co/sZX9ecewlp https://pbs.twimg.com/media/GGyidxeWMAAif2V.jpg,photo,https://t.co/sZX9ecewlp
940,True,"['Book', 'Comics', 'Publication', 'Person']",GGyiyTXXwAA8B4O.jpg,https://pbs.twimg.com/media/GGyiyTXXwAA8B4O.jpg,https://t.co/odDx04MidS https://pbs.twimg.com/media/GGyiyTXXwAA8B4O.jpg,photo,https://t.co/odDx04MidS
941,True,"['Advertisement', 'Poster', 'Person', 'People', 'Face', 'Head']",GGylli1X0AABfo7.jpg,https://pbs.twimg.com/media/GGylli1X0AABfo7.jpg,https://t.co/6KtnH4M96C https://pbs.twimg.com/media/GGylli1X0AABfo7.jpg,photo,https://t.co/6KtnH4M96C
942,False,"['Person', 'Game', 'Painting']",GGyn4RlXQAAyGxz.jpg,https://pbs.twimg.com/media/GGyn4RlXQAAyGxz.jpg,https://t.co/MqDeL4O1eS https://pbs.twimg.com/media/GGyn4RlXQAAyGxz.jpg,photo,https://t.co/MqDeL4O1eS
